iteracion,error_norma,pagerank_0,pagerank_1,pagerank_2,pagerank_3,pagerank_4,pagerank_5,pagerank_6,pagerank_7
264,0.000003,0.000028,0.000028,0.000036,0.000007,0.000041,0.000041,0.000061,0.000023
265,0.000003,0.000027,0.000027,0.000035,0.000007,0.000040,0.000040,0.000059,0.000022
266,0.000003,0.000026,0.000026,0.000034,0.000007,0.000038,0.000038,0.000058,0.000022
267,0.000003,0.000025,0.000025,0.000033,0.000007,0.000037,0.000037,0.000056,0.000021
268,0.000003,0.000024,0.000024,0.000032,0.000006,0.000036,0.000036,0.000054,0.000020
269,0.000003,0.000024,0.000024,0.000031,0.000006,0.000035,0.000035,0.000052,0.000020
270,0.000003,0.000023,0.000023,0.000030,0.000006,0.000034,0.000034,0.000051,0.000019
271,0.000003,0.000022,0.000022,0.000029,0.000006,0.000033,0.000033,0.000049,0.000019
272,0.000003,0.000022,0.000022,0.000028,0.000006,0.000032,0.000032,0.000048,0.000018
273,0.000002,0.000021,0.000021,0.000027,0.000005,0.000031,0.000031,0.000046,0.000017
274,0.000002,0.000020,0.000020,0.000026,0.000005,0.000030,0.000030,0.000045,0.000017
275,0.000002,0.000020,0.000020,0.000025,0.000005,0.000029,0.000029,0.000043,0.000016
276,0.000002,0.000019,0.000019,0.000025,0.000005,0.000028,0.000028,0.000042,0.000016
277,0.000002,0.000019,0.000019,0.000024,0.000005,0.000027,0.000027,0.000041,0.000015
278,0.000002,0.000018,0.000018,0.000023,0.000005,0.000027,0.000027,0.000040,0.000015
279,0.000002,0.000017,0.000017,0.000022,0.000005,0.000026,0.000026,0.000038,0.000014
280,0.000002,0.000017,0.000017,0.000022,0.000004,0.000025,0.000025,0.000037,0.000014
281,0.000002,0.000016,0.000016,0.000021,0.000004,0.000024,0.000024,0.000036,0.000014
282,0.000002,0.000016,0.000016,0.000020,0.000004,0.000023,0.000023,0.000035,0.000013
283,0.000002,0.000015,0.000015,0.000020,0.000004,0.000023,0.000023,0.000034,0.000013
284,0.000002,0.000015,0.000015,0.000019,0.000004,0.000022,0.000022,0.000033,0.000012
285,0.000002,0.000014,0.000014,0.000019,0.000004,0.000021,0.000021,0.000032,0.000012
286,0.000002,0.000014,0.000014,0.000018,0.000004,0.000021,0.000021,0.000031,0.000012
287,0.000002,0.000014,0.000014,0.000018,0.000004,0.000020,0.000020,0.000030,0.000011
288,0.000002,0.000013,0.000013,0.000017,0.000003,0.000019,0.000019,0.000029,0.000011
289,0.000001,0.000013,0.000013,0.000016,0.000003,0.000019,0.000019,0.000028,0.000011
290,0.000001,0.000012,0.000012,0.000016,0.000003,0.000018,0.000018,0.000027,0.000010
291,0.000001,0.000012,0.000012,0.000015,0.000003,0.000018,0.000018,0.000026,0.000010
292,0.000001,0.000012,0.000012,0.000015,0.000003,0.000017,0.000017,0.000026,0.000010
293,0.000001,0.000011,0.000011,0.000015,0.000003,0.000017,0.000017,0.000025,0.000009
294,0.000001,0.000011,0.000011,0.000014,0.000003,0.000016,0.000016,0.000024,0.000009
295,0.000001,0.000011,0.000011,0.000014,0.000003,0.000016,0.000016,0.000023,0.000009
296,0.000001,0.000010,0.000010,0.000013,0.000003,0.000015,0.000015,0.000023,0.000009
297,0.000001,0.000010,0.000010,0.000013,0.000003,0.000015,0.000015,0.000022,0.000008
298,0.000001,0.000010,0.000010,0.000012,0.000003,0.000014,0.000014,0.000021,0.000008
299,0.000001,0.000009,0.000009,0.000012,0.000002,0.000014,0.000014,0.000021,0.000008
300,0.000001,0.000009,0.000009,0.000012,0.000002,0.000013,0.000013,0.000020,0.000008
301,0.000001,0.000009,0.000009,0.000011,0.000002,0.000013,0.000013,0.000019,0.000007
302,0.000001,0.000009,0.000009,0.000011,0.000002,0.000013,0.000013,0.000019,0.000007
303,0.000001,0.000008,0.000008,0.000011,0.000002,0.000012,0.000012,0.000018,0.000007
304,0.000001,0.000008,0.000008,0.000010,0.000002,0.000012,0.000012,0.000018,0.000007
305,0.000001,0.000008,0.000008,0.000010,0.000002,0.000011,0.000011,0.000017,0.000006
306,0.000001,0.000008,0.000008,0.000010,0.000002,0.000011,0.000011,0.000017,0.000006
307,0.000001,0.000007,0.000007,0.000009,0.000002,0.000011,0.000011,0.000016,0.000006
308,0.000001,0.000007,0.000007,0.000009,0.000002,0.000010,0.000010,0.000016,0.000006
309,0.000001,0.000007,0.000007,0.000009,0.000002,0.000010,0.000010,0.000015,0.000006
310,0.000001,0.000007,0.000007,0.000009,0.000002,0.000010,0.000010,0.000015,0.000006
311,0.000001,0.000006,0.000006,0.000008,0.000002,0.000010,0.000010,0.000014,0.000005
312,0.000001,0.000006,0.000006,0.000008,0.000002,0.000009,0.000009,0.000014,0.000005
313,0.000001,0.000006,0.000006,0.000008,0.000002,0.000009,0.000009,0.000013,0.000005
314,0.000001,0.000006,0.000006,0.000008,0.000002,0.000009,0.000009,0.000013,0.000005
315,0.000001,0.000006,0.000006,0.000007,0.000001,0.000008,0.000008,0.000013,0.000005
316,0.000001,0.000006,0.000006,0.000007,0.000001,0.000008,0.000008,0.000012,0.000005
317,0.000001,0.000005,0.000005,0.000007,0.000001,0.000008,0.000008,0.000012,0.000004
318,0.000001,0.000005,0.000005,0.000007,0.000001,0.000008,0.000008,0.000011,0.000004
319,0.000001,0.000005,0.000005,0.000006,0.000001,0.000007,0.000007,0.000011,0.000004
320,0.000001,0.000005,0.000005,0.000006,0.000001,0.000007,0.000007,0.000011,0.000004
321,0.000001,0.000005,0.000005,0.000006,0.000001,0.000007,0.000007,0.000010,0.000004
322,0.000001,0.000005,0.000005,0.000006,0.000001,0.000007,0.000007,0.000010,0.000004
323,0.000001,0.000004,0.000004,0.000006,0.000001,0.000007,0.000007,0.000010,0.000004
324,0.000001,0.000004,0.000004,0.000006,0.000001,0.000006,0.000006,0.000010,0.000004
325,0.000000,0.000004,0.000004,0.000005,0.000001,0.000006,0.000006,0.000009,0.000003
326,0.000000,0.000004,0.000004,0.000005,0.000001,0.000006,0.000006,0.000009,0.000003
327,0.000000,0.000004,0.000004,0.000005,0.000001,0.000006,0.000006,0.000009,0.000003
328,0.000000,0.000004,0.000004,0.000005,0.000001,0.000006,0.000006,0.000008,0.000003
329,0.000000,0.000004,0.000004,0.000005,0.000001,0.000005,0.000005,0.000008,0.000003
330,0.000000,0.000004,0.000004,0.000005,0.000001,0.000005,0.000005,0.000008,0.000003
331,0.000000,0.000003,0.000003,0.000004,0.000001,0.000005,0.000005,0.000008,0.000003
332,0.000000,0.000003,0.000003,0.000004,0.000001,0.000005,0.000005,0.000007,0.000003
333,0.000000,0.000003,0.000003,0.000004,0.000001,0.000005,0.000005,0.000007,0.000003
334,0.000000,0.000003,0.000003,0.000004,0.000001,0.000005,0.000005,0.000007,0.000003
335,0.000000,0.000003,0.000003,0.000004,0.000001,0.000005,0.000005,0.000007,0.000003
336,0.000000,0.000003,0.000003,0.000004,0.000001,0.000004,0.000004,0.000007,0.000002
337,0.000000,0.000003,0.000003,0.000004,0.000001,0.000004,0.000004,0.000006,0.000002
338,0.000000,0.000003,0.000003,0.000004,0.000001,0.000004,0.000004,0.000006,0.000002
339,0.000000,0.000003,0.000003,0.000003,0.000001,0.000004,0.000004,0.000006,0.000002
340,0.000000,0.000003,0.000003,0.000003,0.000001,0.000004,0.000004,0.000006,0.000002
341,0.000000,0.000003,0.000003,0.000003,0.000001,0.000004,0.000004,0.000006,0.000002
342,0.000000,0.000002,0.000002,0.000003,0.000001,0.000004,0.000004,0.000005,0.000002
343,0.000000,0.000002,0.000002,0.000003,0.000001,0.000004,0.000004,0.000005,0.000002
344,0.000000,0.000002,0.000002,0.000003,0.000001,0.000003,0.000003,0.000005,0.000002
345,0.000000,0.000002,0.000002,0.000003,0.000001,0.000003,0.000003,0.000005,0.000002
346,0.000000,0.000002,0.000002,0.000003,0.000001,0.000003,0.000003,0.000005,0.000002
347,0.000000,0.000002,0.000002,0.000003,0.000001,0.000003,0.000003,0.000005,0.000002
348,0.000000,0.000002,0.000002,0.000003,0.000001,0.000003,0.000003,0.000005,0.000002
349,0.000000,0.000002,0.000002,0.000003,0.000001,0.000003,0.000003,0.000004,0.000002
350,0.000000,0.000002,0.000002,0.000002,0.000001,0.000003,0.000003,0.000004,0.000002
351,0.000000,0.000002,0.000002,0.000002,0.000000,0.000003,0.000003,0.000004,0.000002
352,0.000000,0.000002,0.000002,0.000002,0.000000,0.000003,0.000003,0.000004,0.000001
353,0.000000,0.000002,0.000002,0.000002,0.000000,0.000003,0.000003,0.000004,0.000001
354,0.000000,0.000002,0.000002,0.000002,0.000000,0.000003,0.000003,0.000004,0.000001
355,0.000000,0.000002,0.000002,0.000002,0.000000,0.000002,0.000002,0.000004,0.000001
356,0.000000,0.000002,0.000002,0.000002,0.000000,0.000002,0.000002,0.000004,0.000001
357,0.000000,0.000002,0.000002,0.000002,0.000000,0.000002,0.000002,0.000003,0.000001
358,0.000000,0.000001,0.000001,0.000002,0.000000,0.000002,0.000002,0.000003,0.000001
359,0.000000,0.000001,0.000001,0.000002,0.000000,0.000002,0.000002,0.000003,0.000001
360,0.000000,0.000001,0.000001,0.000002,0.000000,0.000002,0.000002,0.000003,0.000001
361,0.000000,0.000001,0.000001,0.000002,0.000000,0.000002,0.000002,0.000003,0.000001
362,0.000000,0.000001,0.000001,0.000002,0.000000,0.000002,0.000002,0.000003,0.000001
363,0.000000,0.000001,0.000001,0.000002,0.000000,0.000002,0.000002,0.000003,0.000001
364,0.000000,0.000001,0.000001,0.000002,0.000000,0.000002,0.000002,0.000003,0.000001
365,0.000000,0.000001,0.000001,0.000002,0.000000,0.000002,0.000002,0.000003,0.000001
366,0.000000,0.000001,0.000001,0.000002,0.000000,0.000002,0.000002,0.000003,0.000001
367,0.000000,0.000001,0.000001,0.000001,0.000000,0.000002,0.000002,0.000003,0.000001
368,0.000000,0.000001,0.000001,0.000001,0.000000,0.000002,0.000002,0.000002,0.000001
369,0.000000,0.000001,0.000001,0.000001,0.000000,0.000002,0.000002,0.000002,0.000001
370,0.000000,0.000001,0.000001,0.000001,0.000000,0.000002,0.000002,0.000002,0.000001
371,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000002,0.000001
372,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000002,0.000001
373,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000002,0.000001
374,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000002,0.000001
375,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000002,0.000001
376,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000002,0.000001
377,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000002,0.000001
378,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000002,0.000001
379,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000002,0.000001
380,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000002,0.000001
381,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000002,0.000001
382,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000002,0.000001
383,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000002,0.000001
384,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001
385,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001
386,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001
387,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001
388,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
389,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
390,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
391,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
392,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
393,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
394,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
395,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
396,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
397,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
398,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
399,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
400,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
401,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000
402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000
403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000
404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000
405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000
406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
